submitted_wallet,stargaze_wallet
union1e2k7mtrxuk8pspw967xnu6ws9xddh9kmsgtl5u,stars1e2k7mtrxuk8pspw967xnu6ws9xddh9kmwra23u
cosmos1qcjaku8mnkpada0lqaeuarch6aq6mkmmakpm3m,stars1qcjaku8mnkpada0lqaeuarch6aq6mkmmf2kx62
union1aap4arnv2dmppl4uethgtdngmv0v4lsz02znnx,stars1aap4arnv2dmppl4uethgtdngmv0v4lsz3p5xkx
cosmos1ptyxp54242k65m0pehwxygguky0hydanx2me22,stars1ptyxp54242k65m0pehwxygguky0hydanjkvypm
union1qupyn64699lh9pxzqs8nf5ts54r9vr20yd7kkk,stars1qupyn64699lh9pxzqs8nf5ts54r9vr206xgrnk
union1juvc56y9u22k5wkxfnv0cruxk0d7j9n5xcr9ud,stars1juvc56y9u22k5wkxfnv0cruxk0d7j9n5cn4sed
cosmos1nte5zu24ser0cf5mjkqn2zu5ap5ylsetf3k7t0,stars1nte5zu24ser0cf5mjkqn2zu5ap5ylsetadprq7
union1vqqqxws76c54vdd6a90rf2f3j5zm7v2wu5xh2g,stars1vqqqxws76c54vdd6a90rf2f3j5zm7v2wzlsz0g
union1kn2ref7mahwtfv8fnvpyn3rdyga7ndvrwdpp8z,stars1kn2ref7mahwtfv8fnvpyn3rdyga7ndvrsxh5zz
union1askxy5vj5r9v4027ma88wjrufum5z92k6hd22r,stars1askxy5vj5r9v4027ma88wjrufum5z92kyuml0r
cosmos18ka5y9jeps68urw80hjlh6extzhh5v9h2f04ns,stars18ka5y9jeps68urw80hjlh6extzhh5v9h74cgcp
union1carufydyggv3v34rf9tsh0enkd4qesdfvczxkm,stars1carufydyggv3v34rf9tsh0enkd4qesdfjn5nnm
union15susnm0sczg94sve3ry26hkk3kpxjazk588k5l,stars15susnm0sczg94sve3ry26hkk3kpxjazk2v3r3l
cosmos13f9p3l5402hkrfgl43xu8vnf3vy5vz8nev5gtw,stars13f9p3l5402hkrfgl43xu8vnf3vy5vz8ndsr4ql
cosmos1fejpws2fcc9ze0a3syv2y6kzsz3xdsn0gqjty5,stars1fejpws2fcc9ze0a3syv2y6kzsz3xdsn0uu9k09
